grid,parts,equal size,plusminus 1,plusminus 2,plusminus 3,all nonempty,equal size,plusminus 1 queen,plusminus 2 queen,plusminus 3 queen,all nonempty queen
2x2,2,2,6,6,6,6,3,7,7,7,7
3x3,3,10,58,170,226,258,36,224,622,746,782
4x4,2,70,206,338,454,627,1718,4690,6630,7598,8171
4x4,4,117,1953,8849,41543,62740,2620,46456,222398,710645,1130598
4x4,8,36,34524,153129,251236,340198,280,568539,2629300,4262934,5362109
5x5,5,4006,193152,1473580,6201654,?,1397790,,,,
6x6,2,80518,?,?,?,?,,,,,
6x6,3,264500,?,?,?,?,,,,,
6x6,4,442791,?,?,?,?,,,,,
6x6,6,451206,?,?,?,?,,,,,
6x6,9,128939,?,?,?,?,,,,,
6x6,12,80092,?,?,?,?,,,,,
6x6,18,6728,?,?,?,?,3037561,,,,
7x7,7,158753814,?,?,?,?,,,,,
8x8,8,187497290034,?,?,?,?,,,,,
9x9,9,706152947468301,?,?,?,?,,,,,
